NTACode;Language_Top;Language_PCT_Top;Language_PCT_MOE_Top;Language_Second;Language_PCT_Second;Language_PCT_MOE_Second;Language_Third;Language_PCT_Third;Language_PCT_MOE_Third;Language_Fourth;Language_PCT_Fourth;Language_PCT_MOE_Fourth;Language_Fifth;Language_PCT_Fifth;Language_PCT_MOE_Fifth
BX46;"Spanish- Speak English Less Than ""Very Well"" PCT";0.073;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.055;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.007;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"Korean-Speak English Less Than ""Very Well"" PCT";0.002;
BX49;"Spanish- Speak English Less Than ""Very Well"" PCT";0.125;;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.038;;"Vietnamese- Speak English Less Than ""Very Well"" PCT";0.014;;"Italian-Speak English Less Than ""Very Well"" PCT";0.013;;"Italian-Speak English Less Than ""Very Well"" PCT";0.013;
BX52;"Spanish- Speak English Less Than ""Very Well"" PCT";0.071;;"Italian-Speak English Less Than ""Very Well"" PCT";0.017;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.006;;"Greek-Speak English Less Than ""Very Well"" PCT";0.004;;"Serbo-Croatian-Speak English Less Than ""Very Well""  PCT";0.003;
BX55;"Spanish- Speak English Less Than ""Very Well"" PCT";0.293;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.021;;"Arabic-Speak English Less Than ""Very Well"" PCT";0.011;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.005;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.005;
BX59;"Spanish- Speak English Less Than ""Very Well"" PCT";0.184;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.029;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.017;;"Arabic-Speak English Less Than ""Very Well"" PCT";0.006;;"French-Speak English Less Than ""Very Well"" PCT";0.003;
BX62;"Spanish- Speak English Less Than ""Very Well"" PCT";0.044;;"Italian-Speak English Less Than ""Very Well"" PCT";0.006;;"French Creole-Speak English Less than ""Very Well"" PCT";0.004;;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.003;;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.003;
BX63;"Spanish- Speak English Less Than ""Very Well"" PCT";0.361;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.011;;"French-Speak English Less Than ""Very Well"" PCT";0.007;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.006;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.006;
BX75;"Spanish- Speak English Less Than ""Very Well"" PCT";0.208;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.024;;"Other Languages-Speak English Less Than ""Very Well"" PCT";0.005;;"French-Speak English Less Than ""Very Well"" PCT";0.003;;"French-Speak English Less Than ""Very Well"" PCT";0.003;
BX98;"Spanish- Speak English Less Than ""Very Well"" PCT";0.289;;"French Creole-Speak English Less than ""Very Well"" PCT";0.008;;"Russian-Speak English Less Than ""Very Well"" PCT";0.005;;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.004;;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.004;
BX99;"Spanish- Speak English Less Than ""Very Well"" PCT";0.176;;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.007;;"Other Pacific Island languages-Speak English Less Than ""Very Well"" PCT";0.006;;"Other Pacific Island languages-Speak English Less Than ""Very Well"" PCT";0.006;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.003;
MN01;"Spanish- Speak English Less Than ""Very Well"" PCT";0.392;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.002;;"Portuguese-Speak English Less Than ""Very Well"" PCT";0.001;;"Portuguese-Speak English Less Than ""Very Well"" PCT";0.001;;"Portuguese-Speak English Less Than ""Very Well"" PCT";0.001;
MN03;"Spanish- Speak English Less Than ""Very Well"" PCT";0.079;;"French-Speak English Less Than ""Very Well"" PCT";0.014;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.009;;"Arabic-Speak English Less Than ""Very Well"" PCT";0.004;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.003;
MN04;"Spanish- Speak English Less Than ""Very Well"" PCT";0.223;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.012;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"German-Speak German Less Than ""Very Well"" PCT";0.002;
MN06;"Spanish- Speak English Less Than ""Very Well"" PCT";0.263;;"French-Speak English Less Than ""Very Well"" PCT";0.013;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.008;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.007;;"Serbo-Croatian-Speak English Less Than ""Very Well""  PCT";0.002;
MN09;"Spanish- Speak English Less Than ""Very Well"" PCT";0.069;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.029;;"Arabic-Speak English Less Than ""Very Well"" PCT";0.004;;"Korean-Speak English Less Than ""Very Well"" PCT";0.003;;"Italian-Speak English Less Than ""Very Well"" PCT";0.002;
MN11;"Spanish- Speak English Less Than ""Very Well"" PCT";0.06;;"French-Speak English Less Than ""Very Well"" PCT";0.022;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.011;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.01;;"French Creole-Speak English Less than ""Very Well"" PCT";0.005;
MN12;"Spanish- Speak English Less Than ""Very Well"" PCT";0.047;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.007;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"Portuguese-Speak English Less Than ""Very Well"" PCT";0.003;
MN13;"Spanish- Speak English Less Than ""Very Well"" PCT";0.032;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.016;;"Korean-Speak English Less Than ""Very Well"" PCT";0.006;;"Russian-Speak English Less Than ""Very Well"" PCT";0.005;;"Russian-Speak English Less Than ""Very Well"" PCT";0.005;
MN14;"Spanish- Speak English Less Than ""Very Well"" PCT";0.016;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.016;;"Japanese-Speak English Less Than ""Very Well"" PCT";0.01;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"French-Speak English Less Than ""Very Well"" PCT";0.004;
MN15;"Spanish- Speak English Less Than ""Very Well"" PCT";0.064;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.018;;"Korean-Speak English Less Than ""Very Well"" PCT";0.007;;"Japanese-Speak English Less Than ""Very Well"" PCT";0.005;;"French-Speak English Less Than ""Very Well"" PCT";0.004;
MN17;"Korean-Speak English Less Than ""Very Well"" PCT";0.03;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.02;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.015;;"Japanese-Speak English Less Than ""Very Well"" PCT";0.012;;"Russian-Speak English Less Than ""Very Well"" PCT";0.006;
MN19;"Japanese-Speak English Less Than ""Very Well"" PCT";0.011;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.008;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.008;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"French-Speak English Less Than ""Very Well"" PCT";0.004;
MN20;"Chinese-Speak English Less Than ""Very Well"" PCT";0.031;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.016;;"Japanese-Speak English Less Than ""Very Well"" PCT";0.014;;"Russian-Speak English Less Than ""Very Well"" PCT";0.006;;"Korean-Speak English Less Than ""Very Well"" PCT";0.005;
MN21;"Spanish- Speak English Less Than ""Very Well"" PCT";0.011;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.01;;"Japanese-Speak English Less Than ""Very Well"" PCT";0.004;;"French-Speak English Less Than ""Very Well"" PCT";0.003;;"French-Speak English Less Than ""Very Well"" PCT";0.003;
MN22;"Spanish- Speak English Less Than ""Very Well"" PCT";0.027;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.026;;"Japanese-Speak English Less Than ""Very Well"" PCT";0.007;;"Polish-Speak English Less than ""Very Well"" PCT";0.005;;"French-Speak English Less Than ""Very Well"" PCT";0.004;
MN23;"Spanish- Speak English Less Than ""Very Well"" PCT";0.007;;"Polish-Speak English Less than ""Very Well"" PCT";0.006;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.005;;"Japanese-Speak English Less Than ""Very Well"" PCT";0.004;;"Korean-Speak English Less Than ""Very Well"" PCT";0.002;
MN24;"Chinese-Speak English Less Than ""Very Well"" PCT";0.071;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.016;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"Portuguese-Speak English Less Than ""Very Well"" PCT";0.003;;"Japanese-Speak English Less Than ""Very Well"" PCT";0.002;
MN25;"Chinese-Speak English Less Than ""Very Well"" PCT";0.025;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.014;;"Russian-Speak English Less Than ""Very Well"" PCT";0.005;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"French-Speak English Less Than ""Very Well"" PCT";0.004;
MN27;"Chinese-Speak English Less Than ""Very Well"" PCT";0.399;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.044;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.004;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.004;;"French-Speak English Less Than ""Very Well"" PCT";0.002;
MN28;"Chinese-Speak English Less Than ""Very Well"" PCT";0.169;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.124;;"Russian-Speak English Less Than ""Very Well"" PCT";0.003;;"Serbo-Croatian-Speak English Less Than ""Very Well""  PCT";0.002;;"Serbo-Croatian-Speak English Less Than ""Very Well""  PCT";0.002;
MN31;"Spanish- Speak English Less Than ""Very Well"" PCT";0.023;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.01;;"Russian-Speak English Less Than ""Very Well"" PCT";0.008;;"French-Speak English Less Than ""Very Well"" PCT";0.007;;"Japanese-Speak English Less Than ""Very Well"" PCT";0.005;
MN32;"Spanish- Speak English Less Than ""Very Well"" PCT";0.022;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.012;;"French-Speak English Less Than ""Very Well"" PCT";0.003;;"French-Speak English Less Than ""Very Well"" PCT";0.003;;"French-Speak English Less Than ""Very Well"" PCT";0.003;
MN33;"Spanish- Speak English Less Than ""Very Well"" PCT";0.145;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.028;;"Japanese-Speak English Less Than ""Very Well"" PCT";0.005;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.003;
MN34;"Spanish- Speak English Less Than ""Very Well"" PCT";0.184;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.012;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"Japanese-Speak English Less Than ""Very Well"" PCT";0.002;
MN35;"Spanish- Speak English Less Than ""Very Well"" PCT";0.321;;"Russian-Speak English Less Than ""Very Well"" PCT";0.008;;"Greek-Speak English Less Than ""Very Well"" PCT";0.004;;"Greek-Speak English Less Than ""Very Well"" PCT";0.004;;"French-Speak English Less Than ""Very Well"" PCT";0.001;
MN36;"Spanish- Speak English Less Than ""Very Well"" PCT";0.4;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.004;;"Japanese-Speak English Less Than ""Very Well"" PCT";0.003;;"French Creole-Speak English Less than ""Very Well"" PCT";0.002;;"French-Speak English Less Than ""Very Well"" PCT";0.001;
MN40;"Spanish- Speak English Less Than ""Very Well"" PCT";0.009;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"Portuguese-Speak English Less Than ""Very Well"" PCT";0.003;;"Portuguese-Speak English Less Than ""Very Well"" PCT";0.003;;"German-Speak German Less Than ""Very Well"" PCT";0.002;
MN50;"Korean-Speak English Less Than ""Very Well"" PCT";0.013;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.008;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.006;;"Tagalog-Speak English Less Than ""Very Well"" PCT";0.005;;"Russian-Speak English Less Than ""Very Well"" PCT";0.004;
MN99;"Spanish- Speak English Less Than ""Very Well"" PCT";0.113;;"Polish-Speak English Less than ""Very Well"" PCT";0.015;;"French-Speak English Less Than ""Very Well"" PCT";0.01;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.007;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.006;
QN01;"Spanish- Speak English Less Than ""Very Well"" PCT";0.057;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.018;;"French Creole-Speak English Less than ""Very Well"" PCT";0.009;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.005;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.004;
QN02;"Spanish- Speak English Less Than ""Very Well"" PCT";0.021;;"French Creole-Speak English Less than ""Very Well"" PCT";0.015;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.009;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.003;;"French-Speak English Less Than ""Very Well"" PCT";0;
QN03;"French Creole-Speak English Less than ""Very Well"" PCT";0.021;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.018;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.009;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.006;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.006;
QN05;"French Creole-Speak English Less than ""Very Well"" PCT";0.033;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.016;;"French-Speak English Less Than ""Very Well"" PCT";0.006;;"French-Speak English Less Than ""Very Well"" PCT";0.006;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.004;
QN06;"Spanish- Speak English Less Than ""Very Well"" PCT";0.06;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.051;;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.016;;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.016;;"French Creole-Speak English Less than ""Very Well"" PCT";0.012;
QN07;"Spanish- Speak English Less Than ""Very Well"" PCT";0.037;;"French Creole-Speak English Less than ""Very Well"" PCT";0.031;;"French-Speak English Less Than ""Very Well"" PCT";0.009;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.004;;"Vietnamese- Speak English Less Than ""Very Well"" PCT";0.003;
QN08;"Spanish- Speak English Less Than ""Very Well"" PCT";0.02;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.02;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"French-Speak English Less Than ""Very Well"" PCT";0.004;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.003;
QN10;"Spanish- Speak English Less Than ""Very Well"" PCT";0.025;;"Polish-Speak English Less than ""Very Well"" PCT";0.014;;"Russian-Speak English Less Than ""Very Well"" PCT";0.006;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.004;;"Hungarian-Speak English Less Than ""Very Well"" PCT";0.003;
QN12;"Spanish- Speak English Less Than ""Very Well"" PCT";0.083;;"Polish-Speak English Less than ""Very Well"" PCT";0.011;;"Russian-Speak English Less Than ""Very Well"" PCT";0.009;;"French Creole-Speak English Less than ""Very Well"" PCT";0.006;;"French Creole-Speak English Less than ""Very Well"" PCT";0.006;
QN15;"Spanish- Speak English Less Than ""Very Well"" PCT";0.136;;"Russian-Speak English Less Than ""Very Well"" PCT";0.03;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.007;;"African Languages-Speak English Less Than ""Very Well"" PCT";0.006;;"French Creole-Speak English Less than ""Very Well"" PCT";0.005;
QN17;"Russian-Speak English Less Than ""Very Well"" PCT";0.074;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.059;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.035;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.006;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.006;
QN18;"Russian-Speak English Less Than ""Very Well"" PCT";0.103;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.1;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.058;;"Hindi-Speak English Less Than ""Very Well"" PCT";0.012;;"Persian-Speak English Less Than ""Very Well"" PCT";0.011;
QN19;"Spanish- Speak English Less Than ""Very Well"" PCT";0.066;;"Polish-Speak English Less than ""Very Well"" PCT";0.033;;"Italian-Speak English Less Than ""Very Well"" PCT";0.021;;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.011;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.008;
QN20;"Spanish- Speak English Less Than ""Very Well"" PCT";0.156;;"Polish-Speak English Less than ""Very Well"" PCT";0.054;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.023;;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.022;;"Italian-Speak English Less Than ""Very Well"" PCT";0.008;
QN21;"Spanish- Speak English Less Than ""Very Well"" PCT";0.04;;"Italian-Speak English Less Than ""Very Well"" PCT";0.032;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.023;;"Polish-Speak English Less than ""Very Well"" PCT";0.021;;"Russian-Speak English Less Than ""Very Well"" PCT";0.013;
QN22;"Chinese-Speak English Less Than ""Very Well"" PCT";0.423;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.079;;"Korean-Speak English Less Than ""Very Well"" PCT";0.064;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.013;;"Russian-Speak English Less Than ""Very Well"" PCT";0.009;
QN23;"Spanish- Speak English Less Than ""Very Well"" PCT";0.175;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.153;;"Korean-Speak English Less Than ""Very Well"" PCT";0.03;;"Italian-Speak English Less Than ""Very Well"" PCT";0.005;;"Greek-Speak English Less Than ""Very Well"" PCT";0.003;
QN25;"Spanish- Speak English Less Than ""Very Well"" PCT";0.323;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.06;;"Russian-Speak English Less Than ""Very Well"" PCT";0.012;;"Russian-Speak English Less Than ""Very Well"" PCT";0.012;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.006;
QN26;"Spanish- Speak English Less Than ""Very Well"" PCT";0.566;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.028;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.008;;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.004;;"French Creole-Speak English Less than ""Very Well"" PCT";0.003;
QN27;"Spanish- Speak English Less Than ""Very Well"" PCT";0.321;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.016;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.005;;"French Creole-Speak English Less than ""Very Well"" PCT";0.004;;"French Creole-Speak English Less than ""Very Well"" PCT";0.004;
QN28;"Spanish- Speak English Less Than ""Very Well"" PCT";0.294;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.048;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.035;;"Hindi-Speak English Less Than ""Very Well"" PCT";0.009;;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.007;
QN29;"Spanish- Speak English Less Than ""Very Well"" PCT";0.275;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.136;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.052;;"Tagalog-Speak English Less Than ""Very Well"" PCT";0.028;;"Other Asian Language- Speak English Less Than ""Very Well"" PCT";0.021;
QN30;"Spanish- Speak English Less Than ""Very Well"" PCT";0.092;;"Polish-Speak English Less than ""Very Well"" PCT";0.064;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.051;;"Italian-Speak English Less Than ""Very Well"" PCT";0.007;;"Korean-Speak English Less Than ""Very Well"" PCT";0.005;
QN31;"Spanish- Speak English Less Than ""Very Well"" PCT";0.163;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.048;;"Other Asian Language- Speak English Less Than ""Very Well"" PCT";0.021;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.02;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.02;
QN33;"French Creole-Speak English Less than ""Very Well"" PCT";0.029;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.017;;"French-Speak English Less Than ""Very Well"" PCT";0.009;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.004;;"Tagalog-Speak English Less Than ""Very Well"" PCT";0.002;
QN34;"Spanish- Speak English Less Than ""Very Well"" PCT";0.062;;"French Creole-Speak English Less than ""Very Well"" PCT";0.051;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.017;;"Tagalog-Speak English Less Than ""Very Well"" PCT";0.009;;"French-Speak English Less Than ""Very Well"" PCT";0.006;
QN35;"Spanish- Speak English Less Than ""Very Well"" PCT";0.105;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.086;;"Russian-Speak English Less Than ""Very Well"" PCT";0.025;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.023;;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.013;
QN37;"Chinese-Speak English Less Than ""Very Well"" PCT";0.081;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.043;;"Russian-Speak English Less Than ""Very Well"" PCT";0.031;;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.011;;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.011;
QN38;"Chinese-Speak English Less Than ""Very Well"" PCT";0.128;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.05;;"Russian-Speak English Less Than ""Very Well"" PCT";0.029;;"Korean-Speak English Less Than ""Very Well"" PCT";0.012;;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.006;
QN41;"Chinese-Speak English Less Than ""Very Well"" PCT";0.137;;"Korean-Speak English Less Than ""Very Well"" PCT";0.078;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.03;;"Russian-Speak English Less Than ""Very Well"" PCT";0.012;;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.009;
QN42;"Chinese-Speak English Less Than ""Very Well"" PCT";0.135;;"Korean-Speak English Less Than ""Very Well"" PCT";0.088;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.018;;"Greek-Speak English Less Than ""Very Well"" PCT";0.015;;"Italian-Speak English Less Than ""Very Well"" PCT";0.006;
QN43;"Spanish- Speak English Less Than ""Very Well"" PCT";0.078;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.057;;"Hindi-Speak English Less Than ""Very Well"" PCT";0.016;;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.015;;"Other Asian Language- Speak English Less Than ""Very Well"" PCT";0.012;
QN44;"Other Asian Language- Speak English Less Than ""Very Well"" PCT";0.034;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.029;;"Hindi-Speak English Less Than ""Very Well"" PCT";0.018;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.016;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.016;
QN45;"Chinese-Speak English Less Than ""Very Well"" PCT";0.103;;"Korean-Speak English Less Than ""Very Well"" PCT";0.093;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.042;;"Greek-Speak English Less Than ""Very Well"" PCT";0.018;;"Italian-Speak English Less Than ""Very Well"" PCT";0.005;
QN46;"Chinese-Speak English Less Than ""Very Well"" PCT";0.122;;"Korean-Speak English Less Than ""Very Well"" PCT";0.077;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.043;;"Greek-Speak English Less Than ""Very Well"" PCT";0.012;;"Italian-Speak English Less Than ""Very Well"" PCT";0.009;
QN47;"Chinese-Speak English Less Than ""Very Well"" PCT";0.055;;"Korean-Speak English Less Than ""Very Well"" PCT";0.048;;"Italian-Speak English Less Than ""Very Well"" PCT";0.013;;"Greek-Speak English Less Than ""Very Well"" PCT";0.011;;"Greek-Speak English Less Than ""Very Well"" PCT";0.011;
QN48;"Chinese-Speak English Less Than ""Very Well"" PCT";0.145;;"Korean-Speak English Less Than ""Very Well"" PCT";0.086;;"Greek-Speak English Less Than ""Very Well"" PCT";0.029;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.027;;"Italian-Speak English Less Than ""Very Well"" PCT";0.014;
QN49;"Chinese-Speak English Less Than ""Very Well"" PCT";0.064;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.042;;"Italian-Speak English Less Than ""Very Well"" PCT";0.038;;"Korean-Speak English Less Than ""Very Well"" PCT";0.032;;"Greek-Speak English Less Than ""Very Well"" PCT";0.028;
QN50;"Chinese-Speak English Less Than ""Very Well"" PCT";0.162;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.153;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.054;;"Other Asian Language- Speak English Less Than ""Very Well"" PCT";0.037;;"Korean-Speak English Less Than ""Very Well"" PCT";0.036;
QN51;"Chinese-Speak English Less Than ""Very Well"" PCT";0.231;;"Korean-Speak English Less Than ""Very Well"" PCT";0.131;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.065;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.012;;"Italian-Speak English Less Than ""Very Well"" PCT";0.011;
QN52;"Chinese-Speak English Less Than ""Very Well"" PCT";0.284;;"Korean-Speak English Less Than ""Very Well"" PCT";0.088;;"Spanish- Speak English Less Than ""Very Well"" PCT";0.073;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.018;;"Greek-Speak English Less Than ""Very Well"" PCT";0.008;
QN53;"Spanish- Speak English Less Than ""Very Well"" PCT";0.177;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.035;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.03;;"Polish-Speak English Less than ""Very Well"" PCT";0.012;;"Arabic-Speak English Less Than ""Very Well"" PCT";0.006;
QN54;"Spanish- Speak English Less Than ""Very Well"" PCT";0.134;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.056;;"Hindi-Speak English Less Than ""Very Well"" PCT";0.011;;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.009;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.008;
QN55;"Spanish- Speak English Less Than ""Very Well"" PCT";0.066;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.02;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.005;;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.004;;"French Creole-Speak English Less than ""Very Well"" PCT";0.002;
QN56;"Spanish- Speak English Less Than ""Very Well"" PCT";0.117;;"Other Indic Languages-Speak English Less Than ""Very Well"" PCT";0.047;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.022;;"Italian-Speak English Less Than ""Very Well"" PCT";0.011;;"Polish-Speak English Less than ""Very Well"" PCT";0.004;
QN57;"Spanish- Speak English Less Than ""Very Well"" PCT";0.032;;"Italian-Speak English Less Than ""Very Well"" PCT";0.025;;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.011;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.006;;"Russian-Speak English Less Than ""Very Well"" PCT";0.004;
QN60;"Spanish- Speak English Less Than ""Very Well"" PCT";0.076;;"Russian-Speak English Less Than ""Very Well"" PCT";0.033;;"Chinese-Speak English Less Than ""Very Well"" PCT";0.029;;"Persian-Speak English Less Than ""Very Well"" PCT";0.01;;"Persian-Speak English Less Than ""Very Well"" PCT";0.01;
